x xf_bbar xf_cbar xf_sbar xf_ubar xf_dbar xf_gluon xf_d xf_u xf_s xf_c xf_b
1.1092131382394637e-05 -6.538866058423489e-16 8.79840174233817 9.216941008877095 9.461474831261501 9.462170186966024 354.5089461655111 9.473471834048611 9.484095175773444 9.21684380506708 8.79840174233817 -4.2931678134965417e-16
1.1134795042443906e-05 -6.577168488125936e-16 8.7846856825923 9.20296875927596 9.447382636325223 9.448079604605331 353.90390946177604 9.459395580987616 9.470033586031704 9.202871280060243 8.7846856825923 -4.3397243552892437e-16
1.1177622799710006e-05 -6.618158592046935e-16 8.77098936572146 9.189016434777235 9.433310359206875 9.434008943591488 353.29981790448494 9.445339269364935 9.455991952992079 9.188918679412394 8.77098936572146 -4.3891791163432457e-16
1.1220615285360031e-05 -6.661346086786054e-16 8.757313510962794 9.175084765171759 9.419258733381245 9.419958937384157 352.69670440394344 9.431303632408245 9.44197100959565 9.174986732915137 8.757313510962794 -4.442272568758394e-16
1.1263773132988648e-05 -6.66540323699871e-16 8.74371571584079 9.161232177160258 9.405286476820669 9.405988301586973 352.0972149699694 9.4173473621625 9.428029422357918 9.161133867562619 8.74371571584079 -4.577898101222722e-16
1.130709697862761e-05 -6.675834109140647e-16 8.730132614570227 9.147394393169053 9.39132899161295 9.392032440924341 351.4984383197644 9.403405889401913 9.414102650207031 9.147295805452202 8.730132614570227 -4.708755830200874e-16
1.135058746075494e-05 -6.692504047434859e-16 8.716564407398732 9.13357161653324 9.377386482156686 9.378091559801154 350.90038351824074 9.389479418511733 9.400190897471289 9.133472749917077 8.716564407398732 -4.834887734329719e-16
1.139424522030454e-05 -6.715274240016861e-16 8.703011292135658 9.11976404811556 9.363459150366973 9.364165860138895 350.3030595176646 9.375568151394635 9.386294365997253 9.119664901818076 8.703011292135658 -4.95633758949746e-16
1.1438070900675438e-05 -6.74400164697664e-16 8.689473464068024 9.1059718862211 9.34954719558966 9.350255541289885 349.7064751538161 9.361672287384986 9.372413255064059 9.105872459458364 8.689473464068024 -5.073151001926445e-16
1.1482065147741463e-05 -6.778538927369045e-16 8.675951115874875 9.092195326510378 9.33565081451399 9.336360799949926 349.11063914207494 9.347792023161505 9.358547761296126 9.092095618496517 8.675951115874875 -5.185375441743135e-16
1.152622860986057e-05 -6.818734365178725e-16 8.662444437540254 9.078434561911003 9.321770201083803 9.322481830069503 348.5155600734444 9.333927552658531 9.34469807857443 9.078334571858198 8.662444437540254 -5.293060277039554e-16
1.157056193788457e-05 -6.864431794226365e-16 8.64895361626456 9.06468978252772 9.307905546407094 9.308618822763366 347.92124641050066 9.320079066975598 9.330864397946138 9.064589509646186 8.648953616264558 -5.396256808434734e-16
1.161506578516864e-05 -6.915470522001904e-16 8.635478836374412 9.05096117555092 9.294057038664077 9.294771966218558 347.3277064832747 9.306246754285526 9.31704690753273 9.050860619048901 8.635478836374412 -5.495018304141189e-16
1.1659740807580887e-05 -6.971685252410834e-16 8.622020279230965 9.037248925163587 9.280224863013624 9.280941445600893 346.73494848506283 9.292430799740913 9.303245792436536 9.037148084247333 8.622020279230963 -5.589400035543809e-16
